estadio,equipo,capacidad,espectadores,promedio
,Málaga CF,,La Rosaleda,Málaga CF
,Real Sporting de Gijón,,El Molinón - Enrique Castro Quini,Real Sporting de Gijón
,RC Deportivo de La Coruña,,Abanca Riazor,RC Deportivo de La Coruña
,Real Racing Club ,,El Sardinero,Real Racing Club
,Granada CF,,Nuevo Los Cármenes,Granada CF
,Real Oviedo,,Carlos Tartiere,Real Oviedo
,Elche CF,,Manuel Martínez Valero,Elche CF
,Cádiz CF,,Nuevo Mirandilla,Cádiz CF
,CD Tenerife,,Heliodoro Rodríguez López,CD Tenerife
,Córdoba CF,,Nuevo Arcángel,Córdoba CF
,Real Zaragoza,,La Romareda,Real Zaragoza
,CD Castellón,,SkyFi Castalia,CD Castellón
,Levante UD,,Ciutat de València,Levante UD
,Burgos CF,,El Plantío,Burgos CF
,UD Almería,,Power Horse Stadium,UD Almería
,Albacete Balompié,,Carlos Belmonte,Albacete Balompié
,Racing Club de Ferrol,,A Malata,Racing Club de Ferrol
,FC Cartagena,,Cartagonova,FC Cartagena
,SD Eibar,,Ipurua,SD Eibar
,SD Huesca,,El Alcoraz,SD Huesca
,CD Eldense,,Nuevo Pepico Amat,CD Eldense
,CD Mirandés,,Anduva,CD Mirandés
,Real Racing Club ,Racing,11,9
,Real Zaragoza,Real Zaragoza,11,7
,Granada CF,Granada CF ,11,5
,Real Oviedo,Real Oviedo,11,3
,Levante UD,Levante UD,11,3
,Real Sporting de Gijón,Real Sporting,11,4
,CD Mirandés,CD Mirandés,11,1
,SD Eibar,SD Eibar,11,1
,SD Huesca,SD Huesca,11,5
,CD Castellón,CD Castellón ,11,3
,UD Almería,UD Almería ,11,-1
,Elche CF,Elche CF,11,1
,Burgos CF,Burgos CF,11,-1
,Málaga CF,Málaga CF ,11,-1
,Albacete Balompié,Albacete,11,-2
,CD Eldense,CD Eldense,11,-3
,Córdoba CF,Córdoba CF ,11,-4
,Racing Club de Ferrol,Racing Ferrol,11,-5
,RC Deportivo de La Coruña,RC Deportivo ,11,-3
,Cádiz CF,Cádiz CF ,11,-6
,FC Cartagena,FC Cartagena,11,-8
,CD Tenerife,CD Tenerife,11,-8
