nombre,jugadores,edad,extranjeros,valor_promedio,valor_total
UD Almería  ,21,"26,1",11,"2,69 mill. €","56,40 mill. €"
Granada CF  ,25,"26,9",9,"1,68 mill. €","42,00 mill. €"
Real Zaragoza,26,"25,8",7,"1,40 mill. €","36,30 mill. €"
Real Oviedo,24,"27,3",10,"1,42 mill. €","34,00 mill. €"
Elche CF,27,"27,1",10,"1,26 mill. €","33,90 mill. €"
Cádiz CF  ,27,"29,2",6,"1,25 mill. €","33,70 mill. €"
Real Racing Club,24,"26,1",4,"1,27 mill. €","30,50 mill. €"
Real Sporting de Gijón,22,"27,0",5,"1,23 mill. €","27,10 mill. €"
Levante UD,22,"26,0",2,"1,06 mill. €","23,30 mill. €"
Burgos CF,23,"27,0",6,939 mil €,"21,60 mill. €"
SD Eibar,24,"27,2",4,854 mil €,"20,50 mill. €"
RC Deportivo de La Coruña  ,25,"28,1",6,800 mil €,"20,00 mill. €"
CD Tenerife,25,"28,5",4,568 mil €,"14,20 mill. €"
SD Huesca,21,"27,6",2,662 mil €,"13,90 mill. €"
Albacete Balompié,23,"28,3",1,583 mil €,"13,40 mill. €"
Málaga CF  ,28,"25,7",6,450 mil €,"12,60 mill. €"
CD Castellón  ,24,"26,6",14,513 mil €,"12,30 mill. €"
Racing Club de Ferrol,25,"29,3",4,484 mil €,"12,10 mill. €"
CD Eldense,25,"28,4",6,468 mil €,"11,70 mill. €"
FC Cartagena,21,"28,7",5,514 mil €,"10,80 mill. €"
CD Mirandés,21,"24,5",4,424 mil €,"8,90 mill. €"
Córdoba CF  ,22,"25,7",4,364 mil €,"8,00 mill. €"
"	Luis Suárez
Delantero centro",,Luis Suárez,Delantero centro,26,8
"	Andrés Martín
Extremo derecho",,Andrés Martín,Extremo derecho,25,6
"	Mario Soberón
Delantero centro",,Mario Soberón,Delantero centro,27,6
"	Myrto Uzuni
Extremo izquierdo",,Myrto Uzuni,Extremo izquierdo,29,5
"	Higinio Marín
Delantero centro",,Higinio Marín,Delantero centro,30,4
,Racing,11,9,26,26
,Real Zaragoza,11,7,19,19
,Granada CF ,11,5,19,19
,Real Oviedo,11,3,19,19
,Levante UD,11,3,18,18
,Real Sporting,11,4,18,18
,CD Mirandés,11,1,18,18
,SD Eibar,11,1,18,18
,SD Huesca,11,5,17,17
,CD Castellón ,11,3,16,16
,UD Almería ,11,-1,15,15
,Elche CF,11,1,15,15
,Burgos CF,11,-1,15,15
,Málaga CF ,11,-1,14,14
,Albacete,11,-2,14,14
,CD Eldense,11,-3,12,12
,Córdoba CF ,11,-4,12,12
,Racing Ferrol,11,-5,11,11
,RC Deportivo ,11,-3,10,10
,Cádiz CF ,11,-6,10,10
,FC Cartagena,11,-8,7,7
,CD Tenerife,11,-8,6,6
