Rank,Team,Stadium,Capacity,Spectators,Average
1,Málaga CF,La Rosaleda,30044,131047,26209
2,Real Sporting de Gijón,El Molinón - Enrique Castro Quini,29029,130971,21829
3,RC Deportivo de La Coruña,Abanca Riazor,32912,116106,23221
4,Real Racing Club,El Sardinero,22222,112547,18758
5,Granada CF,Nuevo Los Cármenes,19336,97107,16185
6,Real Oviedo,Carlos Tartiere,30500,95988,19198
7,Elche CF,Manuel Martínez Valero,31388,95285,15881
8,Cádiz CF,Nuevo Mirandilla,21094,92623,15437
9,CD Tenerife,Heliodoro Rodríguez López,22824,87105,14518
10,Córdoba CF,Nuevo Arcángel,21822,80726,16145
11,Real Zaragoza,La Romareda,33608,80420,20105
12,CD Castellón,SkyFi Castalia,15500,72724,12121
13,Levante UD,Ciutat de València,26354,72628,14526
14,Burgos CF,El Plantío,12194,58140,9690
15,UD Almería,Power Horse Stadium,18331,56749,11350
16,Albacete Balompié,Carlos Belmonte,17524,42669,10667
17,Racing Club de Ferrol,A Malata,12043,40264,6711
18,FC Cartagena,Cartagonova,15105,36394,7279
19,SD Eibar,Ipurua,8164,30310,5052
20,SD Huesca,El Alcoraz,9128,29766,5953
21,CD Eldense,Nuevo Pepico Amat,4086,27267,4545
22,CD Mirandés,Anduva,5759,16674,3335
